UNDERLYING,Symbol,lot size,Sector
LIFE INSURA CORP OF INDIA           ,LICI,1400,Financial Services
SUN PHARMACEUTICAL IND L            ,SUNPHARMA,350,Healthcare
SWIGGY LIMITED                      ,SWIGGY,1300,Consumer Services
TATA CONSUMER PRODUCT LTD           ,TATACONSUM,550,Fast Moving Consumer Goods
KFIN TECHNOLOGIES LIMITED           ,KFINTECH,500,Financial Services
TATA POWER CO LTD                   ,TATAPOWER,1450,Power
TECH MAHINDRA LIMITED               ,TECHM,600,Information Technology
LARSEN & TOUBRO LTD.                ,LT,175,Construction
TATA MOTORS PASS VEH LTD            ,TMPV,800,Automobile and Auto Components
VARUN BEVERAGES LIMITED             ,VBL,1125,Fast Moving Consumer Goods
360 ONE WAM LIMITED                 ,360ONE,500,Financial Services
LUPIN LIMITED                       ,LUPIN,425,Healthcare
MANAPPURAM FINANCE LTD              ,MANAPPURAM,3000,Financial Services
MARICO LIMITED                      ,MARICO,1200,Fast Moving Consumer Goods
MAZAGON DOCK SHIPBUIL LTD           ,MAZDOCK,200,Capital Goods
SAMVRDHNA MTHRSN INTL LTD           ,MOTHERSON,6150,Automobile and Auto Components
MOTILAL OSWAL FIN LTD               ,MOTILALOFS,775,Financial Services
MPHASIS LIMITED                     ,MPHASIS,275,Information Technology
NIPPON L I A M LTD                  ,NAM-INDIA,625,Financial Services
MUTHOOT FINANCE LIMITED             ,MUTHOOTFIN,275,Financial Services
NBCC (INDIA) LIMITED                ,NBCC,6500,Construction
NESTLE INDIA LIMITED                ,NESTLEIND,500,Fast Moving Consumer Goods
NHPC LTD                            ,NHPC,6400,Power
NMDC LTD.                           ,NMDC,6750,Metals & Mining
OBEROI REALTY LIMITED               ,OBEROIRLTY,350,Realty
OIL AND NATURAL GAS CORP.           ,ONGC,2250,Oil Gas & Consumable Fuels
INFO EDGE (I) LTD                   ,NAUKRI,375,Consumer Services
PAGE INDUSTRIES LTD                 ,PAGEIND,15,Textiles
ONE 97 COMMUNICATIONS LTD           ,PAYTM,725,Financial Services
PERSISTENT SYSTEMS LTD              ,PERSISTENT,100,Information Technology
PETRONET LNG LIMITED                ,PETRONET,1900,Oil Gas & Consumable Fuels
PG ELECTROPLAST LTD                 ,PGEL,950,Consumer Durables
VEDANTA LIMITED                     ,VEDL,1150,Metals & Mining
PIDILITE INDUSTRIES LTD             ,PIDILITIND,500,Chemicals
ORACLE FIN SERV SOFT LTD.           ,OFSS,75,Information Technology
PI INDUSTRIES LTD                   ,PIIND,175,Chemicals
OIL INDIA LTD                       ,OIL,1400,Oil Gas & Consumable Fuels
PUNJAB NATIONAL BANK                ,PNB,8000,Financial Services
POLYCAB INDIA LIMITED               ,POLYCAB,125,Capital Goods
HITACHI ENERGY INDIA LTD            ,POWERINDIA,25,Capital Goods
PREMIER ENERGIES LIMITED            ,PREMIERENE,575,Capital Goods
STEEL AUTHORITY OF INDIA            ,SAIL,4700,Metals & Mining
STATE BANK OF INDIA                 ,SBIN,750,Financial Services
SHRIRAM FINANCE LIMITED             ,SHRIRAMFIN,825,Financial Services
SIEMENS LTD                         ,SIEMENS,175,Capital Goods
SOLAR INDUSTRIES (I) LTD            ,SOLARINDS,50,Chemicals
SONA BLW PRECISION FRGS L           ,SONACOMS,1225,Automobile and Auto Components
RADICO KHAITAN LTD                  ,RADICO,150,Fast Moving Consumer Goods
BHARTI AIRTEL LIMITED               ,BHARTIARTL,475,Telecommunication
SAMMAAN CAPITAL LIMITED             ,SAMMAANCAP,4300,Financial Services
TATA ELXSI LIMITED                  ,TATAELXSI,100,Information Technology
TATA STEEL LIMITED                  ,TATASTEEL,2750,Metals & Mining
TUBE INVEST OF INDIA LTD            ,TIINDIA,200,Automobile and Auto Components
SUZLON ENERGY LIMITED               ,SUZLON,9025,Capital Goods
TITAN COMPANY LIMITED               ,TITAN,175,Consumer Durables
TORRENT PHARMACEUTICALS L           ,TORNTPHARM,125,Healthcare
TRENT LTD                           ,TRENT,150,Consumer Services
TVS MOTOR COMPANY  LTD              ,TVSMOTOR,175,Automobile and Auto Components
UNITED SPIRITS LIMITED              ,UNITDSPR,400,Fast Moving Consumer Goods
UPL LIMITED                         ,UPL,1355,Chemicals
SHREE CEMENT LIMITED                ,SHREECEM,25,Construction Materials
CIPLA LTD                           ,CIPLA,375,Healthcare
BHARAT FORGE LTD                    ,BHARATFORG,500,Automobile and Auto Components
VISHAL MEGA MART LIMITED            ,VMM,4850,Consumer Services
VOLTAS LTD                          ,VOLTAS,375,Consumer Durables
TATA CONSULTANCY SERV LT            ,TCS,175,Information Technology
WIPRO LTD                           ,WIPRO,3000,Information Technology
COAL INDIA LTD                      ,COALINDIA,1350,Oil Gas & Consumable Fuels
FORTIS HEALTHCARE LTD               ,FORTIS,775,Healthcare
L&T FINANCE LIMITED                 ,LTF,2250,Financial Services
BANK OF BARODA                      ,BANKBARODA,2925,Financial Services
MAX HEALTHCARE INS LTD              ,MAXHEALTH,525,Healthcare
HINDUSTAN PETROLEUM CORP            ,HINDPETRO,2025,Oil Gas & Consumable Fuels
PATANJALI FOODS LIMITED             ,PATANJALI,900,Fast Moving Consumer Goods
INDUS TOWERS LIMITED                ,INDUSTOWER,1700,Telecommunication
POWER GRID CORP. LTD.               ,POWERGRID,1900,Power
PRESTIGE ESTATE LTD                 ,PRESTIGE,450,Realty
SBI CARDS & PAY SER LTD             ,SBICARD,800,Financial Services
SUPREME INDUSTRIES LTD              ,SUPREMEIND,175,Capital Goods
MANKIND PHARMA LIMITED              ,MANKIND,225,Healthcare
ULTRATECH CEMENT LIMITED            ,ULTRACEMCO,50,Construction Materials
MAX FINANCIAL SERV LTD              ,MFSL,400,Financial Services
WAAREE ENERGIES LIMITED             ,WAAREEENER,175,Capital Goods
NUVAMA WEALTH MANAGE LTD            ,NUVAMA,500,Financial Services
RELIANCE INDUSTRIES LTD             ,RELIANCE,500,Oil Gas & Consumable Fuels
VODAFONE IDEA LIMITED               ,IDEA,71475,Telecommunication
UNION BANK OF INDIA                 ,UNIONBANK,4425,Financial Services
UNO MINDA LIMITED                   ,UNOMINDA,550,Automobile and Auto Components
ZYDUS LIFESCIENCES LTD              ,ZYDUSLIFE,900,Healthcare
YES BANK LIMITED                    ,YESBANK,31100,Financial Services
